City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Hambantota,LK,2022-12-06 20:39:28,6.1241,81.1185,77.68,83,100,2.01
121,Bathsheba,BB,2022-12-06 20:39:29,13.2167,-59.5167,83.01,79,20,8.05
122,Cartagena,CO,2022-12-06 20:38:29,10.3997,-75.5144,87.42,62,20,14.97
123,Ruiz,MX,2022-12-06 20:39:30,21.95,-105.15,89.62,42,3,6.87
124,Nishihara,JP,2022-12-06 20:39:30,26.1842,127.7558,63.68,63,75,16.11
125,San Cristobal,VE,2022-12-06 20:39:31,7.7669,-72.225,73.58,74,75,4.29
126,Manbij,SY,2022-12-06 20:39:31,36.5281,37.9549,50.85,65,9,2.64
127,Kaitangata,NZ,2022-12-06 20:39:32,-46.2817,169.8464,53.13,56,3,13.2
128,Dwarka,IN,2022-12-06 20:39:33,22.2394,68.9678,73.29,41,0,12.97
129,Katsuura,JP,2022-12-06 20:39:33,35.1333,140.3,49.75,68,4,1.01
130,Kuraymah,SD,2022-12-06 20:39:34,18.55,31.85,66.96,29,0,13.4
131,Butaritari,KI,2022-12-06 20:39:34,3.0707,172.7902,80.6,81,88,13.6
132,Shenkursk,RU,2022-12-06 20:39:35,62.1091,42.896,19.56,90,100,10.38
133,Nanortalik,GL,2022-12-06 20:39:36,60.1432,-45.2371,36.01,99,100,5.61
134,Pudozh,RU,2022-12-06 20:40:36,61.8099,36.5345,22.77,95,100,7.94
135,Kabinda,CD,2022-12-06 20:40:37,-6.1333,24.4833,65.66,94,39,2.44
136,The Valley,AI,2022-12-06 20:40:37,18.217,-63.0578,80.82,69,40,6.91
137,Launceston,AU,2022-12-06 20:40:38,-41.45,147.1667,48.61,80,49,8.05
138,Nakamura,JP,2022-12-06 20:40:38,32.9833,132.9333,40.98,80,100,4.32
139,Kahului,US,2022-12-06 20:40:39,20.8947,-156.47,81.84,70,0,17.0
140,Tuatapere,NZ,2022-12-06 20:40:39,-46.1333,167.6833,52.74,59,7,6.06
141,Xuddur,SO,2022-12-06 20:40:40,4.1213,43.8894,73.17,79,100,18.28
142,Fairbanks,US,2022-12-06 20:40:06,64.8378,-147.7164,18.61,89,75,0.0
143,Aklavik,CA,2022-12-06 20:40:41,68.2191,-135.0107,-7.6,59,75,12.66
144,Havre-Saint-Pierre,CA,2022-12-06 20:40:41,50.2334,-63.5986,37.4,80,0,9.22
145,Hithadhoo,MV,2022-12-06 20:40:42,-0.6,73.0833,81.5,75,55,11.54
146,Dudinka,RU,2022-12-06 20:40:42,69.4058,86.1778,25.63,94,100,17.36
147,Gravelbourg,CA,2022-12-06 20:40:43,49.8834,-106.5512,-12.73,75,100,7.74
148,Vostok,RU,2022-12-06 20:40:44,46.4856,135.8833,5.99,96,100,4.41
149,Dusti,TJ,2022-12-06 20:40:44,37.3481,68.664,38.43,81,81,2.51
150,Nouadhibou,MR,2022-12-06 20:40:45,20.931,-17.0347,69.78,78,9,10.36
151,Marquette,US,2022-12-06 20:40:45,46.5333,-87.6335,29.34,64,63,5.7
152,Ancud,CL,2022-12-06 20:40:46,-41.8697,-73.8203,58.89,80,61,7.18
153,Northam,GB,2022-12-06 20:40:46,51.0333,-4.2167,41.4,86,12,6.87
154,Pampa,US,2022-12-06 20:36:52,35.5362,-100.9599,57.24,38,0,0.0
155,Bay-Khaak,RU,2022-12-06 20:40:47,51.1667,94.5,-22.72,92,46,1.68
156,Saint-Lo,FR,2022-12-06 20:40:48,49.1162,-1.0903,36.03,86,100,2.57
157,Gawler,AU,2022-12-06 20:40:48,-34.6,138.7333,60.26,84,38,10.29
158,Ulety,RU,2022-12-06 20:40:48,51.3572,112.4849,11.57,80,67,12.06
159,Harnosand,SE,2022-12-06 20:40:49,62.6323,17.9379,24.01,71,8,14.74
160,General Roca,AR,2022-12-06 20:40:49,-39.0333,-67.5833,90.63,12,2,13.38
161,Miandrivazo,MG,2022-12-06 20:40:50,-19.5167,45.4667,77.77,76,76,2.75
162,Mazamari,PE,2022-12-06 20:40:51,-11.3258,-74.5308,83.95,53,86,3.6
163,Russell,US,2022-12-06 20:37:35,32.3502,-85.1999,79.02,65,0,6.91
164,Manica,FR,2022-12-06 20:40:52,49.0,-1.1667,38.21,87,100,2.77
165,Chokurdakh,RU,2022-12-06 20:40:52,70.6333,147.9167,-14.24,98,100,5.46
166,Colares,PT,2022-12-06 20:40:53,38.7992,-9.4469,56.79,88,51,7.0
167,Am Timan,TD,2022-12-06 20:40:53,11.0297,20.2827,75.45,19,0,7.83
168,Abha,SA,2022-12-06 20:40:54,18.2164,42.5053,53.42,76,0,3.44
169,Stornoway,GB,2022-12-06 20:40:54,58.2093,-6.3865,37.36,88,40,10.36
170,Avarua,CK,2022-12-06 20:40:54,-21.2078,-159.775,71.65,100,100,3.44
171,Westerland,DE,2022-12-06 20:40:55,54.9079,8.3033,39.22,81,40,9.22
172,Naze,JP,2022-12-06 20:40:55,28.3667,129.4833,58.12,62,89,15.39
173,San Rafael,AR,2022-12-06 20:40:56,-34.6177,-68.3301,88.23,21,0,6.71
174,Bontang,ID,2022-12-06 20:40:56,0.1333,117.5,75.87,90,43,3.94
175,Airai,TL,2022-12-06 20:40:57,-8.9266,125.4092,59.54,62,69,1.45
176,Bandarbeyla,SO,2022-12-06 20:40:57,9.4942,50.8122,76.96,72,88,14.58
177,Talnakh,RU,2022-12-06 20:40:58,69.4865,88.3972,25.21,96,100,16.06
178,Dargaville,NZ,2022-12-06 20:40:58,-35.9333,173.8833,60.6,96,100,12.75
179,Mount Gambier,AU,2022-12-06 20:41:59,-37.8333,140.7667,54.0,69,60,8.19
180,Kieta,PG,2022-12-06 20:41:59,-6.2167,155.6333,81.12,76,100,2.01
181,Namibe,AO,2022-12-06 20:42:00,-15.1961,12.1522,69.4,82,6,7.02
182,Broome,US,2022-12-06 20:42:01,42.2506,-75.833,48.79,93,100,9.22
183,Manzanillo,CU,2022-12-06 20:42:02,20.3433,-77.1167,84.13,44,12,16.44
184,Guerrero Negro,MX,2022-12-06 20:42:03,27.9769,-114.0611,65.7,51,10,17.72
185,Ypsonas,CY,2022-12-06 20:42:04,34.6884,32.9574,56.25,88,0,4.61
186,Saint-Philippe,RE,2022-12-06 20:42:04,-21.3585,55.7679,76.59,86,88,13.4
187,Dubbo,AU,2022-12-06 20:42:08,-32.25,148.6167,53.73,87,73,5.75
188,Nemuro,JP,2022-12-06 20:42:09,43.3236,145.575,31.84,96,100,5.55
189,Whitianga,NZ,2022-12-06 20:42:10,-36.8333,175.7,59.67,94,100,19.69
190,East London,ZA,2022-12-06 20:42:11,-33.0153,27.9116,64.65,84,53,7.92
191,Yeppoon,AU,2022-12-06 20:42:12,-23.1333,150.7333,71.38,72,0,4.29
192,Cayenne,GF,2022-12-06 20:42:13,4.9333,-52.3333,80.64,83,0,2.3
193,Luderitz,NA,2022-12-06 20:42:13,-26.6481,15.1594,59.49,76,1,16.58
194,Hohhot,CN,2022-12-06 20:42:14,40.8106,111.6522,1.69,78,0,4.47
195,Mayo,US,2022-12-06 20:42:15,38.8876,-76.5119,50.14,94,100,5.75
196,Longyearbyen,SJ,2022-12-06 20:42:16,78.2186,15.6401,8.44,56,20,14.97
197,Formosa,AR,2022-12-06 20:42:17,-26.1775,-58.1781,98.58,34,20,8.05
198,Baghdad,IQ,2022-12-06 20:40:10,33.3406,44.4009,53.51,87,1,0.0
199,Nuuk,GL,2022-12-06 20:42:18,64.1835,-51.7216,34.41,75,40,41.43
200,Salalah,OM,2022-12-06 20:42:19,17.0151,54.0924,78.89,65,20,6.91
201,Kangaatsiaq,GL,2022-12-06 20:42:20,68.3065,-53.4641,29.03,76,46,24.07
202,Alofi,NU,2022-12-06 20:42:22,-19.0595,-169.9187,82.29,74,40,8.05
203,Portobelo,PA,2022-12-06 20:42:23,9.55,-79.65,86.95,73,80,14.03
204,Clyde River,CA,2022-12-06 20:42:25,70.4692,-68.5914,3.43,92,75,2.3
205,Ambilobe,MG,2022-12-06 20:42:26,-13.2,49.05,75.56,79,2,3.83
206,Coahuayana,MX,2022-12-06 20:42:27,18.7333,-103.6833,86.92,58,1,6.49
207,Trairi,BR,2022-12-06 20:42:27,-3.2778,-39.2689,79.68,71,95,12.28
208,Mayenne,FR,2022-12-06 20:42:28,48.3333,-0.6667,40.44,94,77,5.7
209,Ayan,RU,2022-12-06 20:42:28,56.45,138.1667,0.5,70,25,9.13
210,Atambua,ID,2022-12-06 20:42:29,-9.1061,124.8925,72.23,80,72,1.63
211,Pustoshka,RU,2022-12-06 20:42:29,56.3355,29.369,22.23,94,100,11.65
212,Ayagoz,KZ,2022-12-06 20:41:22,47.9714,80.4392,-14.67,100,98,4.65
213,Port Hedland,AU,2022-12-06 20:42:30,-20.3167,118.5667,78.85,65,1,13.8
214,Pozo Colorado,PY,2022-12-06 20:42:31,-23.4923,-58.7972,102.63,22,50,7.96
215,Mananjary,MG,2022-12-06 20:42:31,-21.2167,48.3333,73.81,84,58,3.15
216,Peleduy,RU,2022-12-06 20:42:32,59.6289,112.7406,10.56,93,100,13.8
217,Ostroda,PL,2022-12-06 20:40:33,53.6967,19.9649,32.86,100,100,2.66
218,Savannah Bight,HN,2022-12-06 20:42:32,16.45,-85.85,81.61,64,2,13.91
219,Sumbe,AO,2022-12-06 20:42:33,-11.2061,13.8437,77.67,86,100,2.55
220,Saint George,US,2022-12-06 20:37:51,37.1041,-113.5841,53.44,70,20,4.61
221,Amapa,BR,2022-12-06 20:42:34,1.0,-52.0,80.64,68,100,2.62
222,Misratah,LY,2022-12-06 20:42:35,32.3754,15.0925,67.06,49,48,7.11
223,Beyneu,KZ,2022-12-06 20:42:35,45.3167,55.2,17.2,70,6,4.59
224,Marsa Matruh,EG,2022-12-06 20:43:36,31.3525,27.2453,53.8,76,0,0.0
225,Punta De Piedra,VE,2022-12-06 20:43:36,7.6176,-71.4916,82.94,66,29,1.74
226,Sao Gabriel Da Cachoeira,BR,2022-12-06 20:43:37,-0.1303,-67.0892,80.2,87,100,0.58
227,Lompoc,US,2022-12-06 20:43:18,34.6391,-120.4579,62.85,64,0,5.75
228,Halifax,CA,2022-12-06 20:42:37,44.6453,-63.5724,43.21,84,100,13.8
229,Namatanai,PG,2022-12-06 20:43:38,-3.6667,152.4333,80.42,80,100,5.84
230,Mount Pleasant,US,2022-12-06 20:40:15,32.7941,-79.8626,72.25,84,100,5.75
231,Mahebourg,MU,2022-12-06 20:43:39,-20.4081,57.7,77.29,83,75,11.5
232,Souillac,MU,2022-12-06 20:43:39,-20.5167,57.5167,77.38,83,75,11.5
233,Mulchen,CL,2022-12-06 20:43:40,-37.7167,-72.2333,85.86,15,0,8.72
234,Sambava,MG,2022-12-06 20:43:40,-14.2667,50.1667,74.34,84,2,11.18
235,Maniitsoq,GL,2022-12-06 20:43:41,65.4167,-52.9,32.9,86,100,32.73
236,Carupano,VE,2022-12-06 20:43:41,10.6678,-63.2585,78.15,66,45,4.45
237,Port Elizabeth,ZA,2022-12-06 20:43:42,-33.918,25.5701,67.1,91,0,6.91
238,Dingle,PH,2022-12-06 20:43:42,10.9995,122.6711,74.1,93,36,7.27
239,Filadelfia,US,2022-12-06 20:40:27,39.9523,-75.1638,57.02,94,100,6.91
240,Barrow,US,2022-12-06 20:43:43,71.2906,-156.7887,19.42,93,100,20.71
241,Murgab,TM,2022-12-06 20:43:44,37.4966,61.9714,30.07,93,100,4.61
242,Vernon,CA,2022-12-06 20:43:44,50.2581,-119.2691,28.62,71,64,4.0
243,Faya,SA,2022-12-06 20:43:45,18.3851,42.4509,53.71,63,0,2.51
244,Bara,NG,2022-12-06 20:43:45,10.3744,10.7288,75.74,25,23,9.86
245,Sao Joao Da Barra,BR,2022-12-06 20:43:46,-21.6403,-41.0511,77.09,92,100,12.84
246,Isangel,VU,2022-12-06 20:43:46,-19.55,169.2667,84.31,70,57,1.14
247,Tessalit,ML,2022-12-06 20:43:47,20.1986,1.0114,78.48,14,98,11.05
248,Kenai,US,2022-12-06 20:43:47,60.5544,-151.2583,30.15,99,100,3.44
249,Klyuchi,RU,2022-12-06 20:43:48,52.2667,79.1667,-10.98,99,28,4.18
250,Springbok,ZA,2022-12-06 20:43:48,-29.6643,17.8865,55.9,61,13,3.91
251,Hasaki,JP,2022-12-06 20:39:19,35.7333,140.8333,40.21,69,0,8.14
252,Tiksi,RU,2022-12-06 20:43:49,71.6872,128.8694,-27.02,100,97,4.0
253,Yerbogachen,RU,2022-12-06 20:43:50,61.2767,108.0108,10.62,92,100,13.49
254,Acapulco,MX,2022-12-06 20:43:50,16.8634,-99.8901,83.53,63,4,6.26
255,Constitucion,CL,2022-12-06 20:43:51,-35.3333,-72.4167,67.95,61,17,17.31
256,Mae Hong Son,TH,2022-12-06 20:43:51,19.3003,97.9685,68.22,95,46,1.81
257,Sakakah,SA,2022-12-06 20:43:52,29.9697,40.2064,58.57,61,0,6.71
258,Roanoke Rapids,US,2022-12-06 20:43:53,36.4615,-77.6542,64.09,94,100,0.0
259,Kendari,ID,2022-12-06 20:43:54,-3.945,122.4989,74.32,92,100,1.59
260,Mayahi,NE,2022-12-06 20:43:54,13.9553,7.6712,73.29,18,44,11.1
261,Maceio,BR,2022-12-06 20:43:55,-9.6658,-35.7353,81.84,69,0,12.66
262,Namie,JP,2022-12-06 20:43:55,37.4833,141.0,42.71,86,11,5.3
263,Miraflores,MX,2022-12-06 20:43:56,19.2167,-98.8083,73.02,34,19,2.8
264,Sladkovicovo,SK,2022-12-06 20:43:56,48.2014,17.6385,41.2,86,49,4.76
265,Carbonia,IT,2022-12-06 20:44:57,39.1672,8.5222,51.01,64,66,3.2
266,Kenora,CA,2022-12-06 20:44:57,49.8167,-94.4337,-1.23,78,100,0.0
267,Texarkana,US,2022-12-06 20:44:58,33.4251,-94.0477,77.22,75,100,11.5
268,Mapiri,BO,2022-12-06 20:44:58,-15.25,-68.1667,82.15,57,69,4.54
269,Brae,GB,2022-12-06 20:44:59,60.3964,-1.353,37.71,70,100,26.98
270,Chalchihuites,MX,2022-12-06 20:44:59,23.4833,-103.8833,72.27,25,10,11.03
271,Adrar,MR,2022-12-06 20:45:00,20.5022,-10.0711,79.43,28,0,6.98
272,Oga,IT,2022-12-06 20:45:00,46.4631,10.347,27.28,65,19,1.95
273,Bonnyville,CA,2022-12-06 20:45:01,54.2668,-110.735,-20.4,91,11,5.79
274,Honiara,SB,2022-12-06 20:45:01,-9.4333,159.95,81.41,77,41,3.11
275,Parry Sound,CA,2022-12-06 20:45:02,45.3501,-80.033,41.05,70,97,4.88
276,Eydhafushi,MV,2022-12-06 20:45:03,5.1033,73.0708,80.6,75,98,5.53
277,Belyy Yar,RU,2022-12-06 20:45:03,53.6039,91.3903,-19.14,71,75,0.0
278,Jiaxing,CN,2022-12-06 20:45:04,30.7522,120.75,50.02,81,96,6.67
279,Trelew,AR,2022-12-06 20:43:08,-43.249,-65.3051,73.38,27,27,21.32
280,Sitka,US,2022-12-06 20:45:04,57.0531,-135.33,39.09,87,100,9.22
281,Lianzhou,CN,2022-12-06 20:45:05,24.7811,112.3825,44.6,90,90,3.11
282,Sampit,ID,2022-12-06 20:45:05,-2.5333,112.95,73.31,98,100,1.79
283,Kalulushi,ZM,2022-12-06 20:45:06,-12.8378,28.0919,63.45,86,91,3.38
284,Ormara,PK,2022-12-06 20:45:07,25.2088,64.6357,74.59,59,0,2.82
285,Beringovskiy,RU,2022-12-06 20:45:07,63.05,179.3167,10.13,85,100,10.36
286,Charters Towers,AU,2022-12-06 20:45:08,-20.1,146.2667,76.51,59,2,9.69
287,Camacha,PT,2022-12-06 20:45:08,33.0833,-16.3333,60.22,94,40,14.97
288,Kabare,CD,2022-12-06 20:45:09,-2.4683,28.8242,59.43,94,77,1.1
289,Coihaique,CL,2022-12-06 20:45:09,-45.5752,-72.0662,57.81,54,100,8.05
290,Vasilevo,MK,2022-12-06 20:45:09,41.4761,22.6417,47.91,91,89,4.23
291,Praia Da Vitoria,PT,2022-12-06 20:45:10,38.7333,-27.0667,57.45,88,75,24.52
292,Viedma,AR,2022-12-06 20:45:11,-40.8135,-62.9967,74.71,25,7,17.27
293,Arraial Do Cabo,BR,2022-12-06 20:45:11,-22.9661,-42.0278,73.36,83,75,9.22
