City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
458,Port Keats,AU,-14.25,129.55,86.63,70,100,5.7,overcast clouds
459,Hearst,CA,49.6835,-83.6665,10.65,92,17,6.2,few clouds
460,Xichang,CN,27.8964,102.2634,41.16,78,0,1.43,clear sky
461,Amapá,BR,1.0,-52.0,76.68,66,88,3.2,overcast clouds
462,Izhmorskiy,RU,56.194,86.6414,3.18,82,100,17.63,overcast clouds
463,Zunyi,CN,27.6867,106.9072,45.48,82,100,1.48,overcast clouds
464,Sarakhs,IR,36.5449,61.1577,29.08,44,10,3.53,clear sky
465,Karia,GR,38.2073,21.7893,59.99,88,89,1.36,overcast clouds
466,Vila Franca do Campo,PT,37.7167,-25.4333,62.2,92,100,24.18,light rain
467,Maracaju,BR,-21.6144,-55.1683,84.49,56,69,3.85,light rain
468,Inuvik,CA,68.3499,-133.7218,-11.99,67,100,4.61,overcast clouds
469,Berlevåg,NO,70.8578,29.0864,22.95,80,95,8.05,overcast clouds
470,Prince Rupert,CA,54.3161,-130.3201,35.29,98,100,18.41,snow
471,Pedernales,DO,18.0384,-71.744,75.4,72,2,1.57,clear sky
472,Hervey Bay,AU,-25.2986,152.8535,72.41,77,83,13.8,broken clouds
473,Zabol,IR,31.0287,61.5012,43.75,53,20,21.03,few clouds
474,Pochutla,MX,15.7432,-96.4661,84.81,59,1,5.26,clear sky
475,Rosita,NI,13.9268,-84.4032,72.1,98,28,3.09,scattered clouds
476,Emilio Carranza,MX,19.9711,-96.6114,75.34,78,3,4.0,clear sky
477,Weinan,CN,34.5036,109.5089,39.74,32,95,7.78,overcast clouds
478,Shihezi,CN,44.3,86.0333,16.5,95,100,2.71,light snow
479,Merowe,SD,18.4833,31.8167,65.95,20,5,11.3,clear sky
480,Polovinnoye,RU,54.7914,65.9864,9.19,72,59,13.89,broken clouds
481,Leningradskiy,RU,69.3833,178.4167,-6.5,90,100,1.5,overcast clouds
482,Gumdag,TM,39.2061,54.5906,29.17,41,11,25.37,few clouds
483,Khiv,RU,41.7543,47.9306,31.39,70,11,3.94,few clouds
484,Uryupinsk,RU,50.8047,42.0138,27.61,89,98,17.87,overcast clouds
485,Mackenzie,CA,55.2999,-123.1698,25.02,68,0,8.05,clear sky
486,Pascagoula,US,30.3658,-88.5561,73.45,80,0,0.0,clear sky
487,Severo-Yeniseyskiy,RU,60.3725,93.0408,1.65,93,100,10.27,overcast clouds
488,Piaçabuçu,BR,-10.4056,-36.4344,78.42,84,100,16.53,overcast clouds
489,Camacha,PT,33.0833,-16.3333,63.82,72,40,10.36,scattered clouds
490,Manacapuru,BR,-3.2997,-60.6206,82.78,64,67,1.92,broken clouds
491,Palmer,US,42.1584,-72.3287,39.24,33,0,10.36,clear sky
492,Basco,PH,20.4487,121.9702,78.66,74,84,24.47,broken clouds
493,Labuhan,ID,-6.8844,112.2051,77.13,83,56,7.25,light rain
494,Mujiayingzi,CN,42.1167,118.7833,14.74,49,59,7.52,broken clouds
495,Guane,CU,22.2025,-84.0875,73.9,71,4,5.19,clear sky
496,Caxito,AO,-8.5785,13.6643,77.16,86,100,0.49,overcast clouds
497,Snezhnogorsk,RU,69.1933,33.2531,15.58,79,62,14.05,broken clouds
498,Beringovskiy,RU,63.05,179.3167,19.09,79,100,5.86,overcast clouds
499,Lakota,CI,5.8528,-5.6883,71.91,95,4,2.46,clear sky
500,Rybinsk,RU,58.0446,38.8426,16.36,98,100,4.45,overcast clouds
501,Port Blair,IN,11.6667,92.75,79.09,80,68,5.44,broken clouds
502,Kingsville,US,27.5159,-97.8561,81.01,79,40,13.8,scattered clouds
503,Popondetta,PG,-8.7537,148.2534,78.51,86,100,2.35,overcast clouds
504,Athabasca,CA,54.7169,-113.2854,14.41,90,62,4.23,broken clouds
505,Saint John,CA,45.2727,-66.0677,37.4,86,100,24.16,overcast clouds
506,Belmonte,BR,-15.8631,-38.8828,77.85,88,96,10.65,overcast clouds
507,Inhambane,MZ,-23.865,35.3833,75.63,74,32,8.57,scattered clouds
508,Linqiong,CN,30.4159,103.4609,48.02,69,98,3.62,overcast clouds
509,Yerbogachën,RU,61.2767,108.0108,-3.95,96,100,8.14,overcast clouds
510,Poum,NC,-20.2333,164.0167,81.21,75,1,6.73,clear sky
511,Sainte-Rose,RE,-21.1298,55.7963,77.0,86,29,6.89,light rain
512,Islamkot,PK,24.6997,70.177,65.08,28,0,5.57,clear sky
513,Talcahuano,CL,-36.7167,-73.1167,67.68,77,0,11.5,clear sky
514,Stantsionno-Oyashinskiy,RU,55.4664,83.8245,1.09,87,100,16.44,overcast clouds
515,Harper,LR,4.375,-7.7169,79.0,83,6,7.4,clear sky
516,Balloch,GB,56.0,-4.5833,33.24,87,12,1.14,few clouds
517,Saint-Augustin,CA,51.226,-58.6502,32.63,96,100,5.91,overcast clouds
518,Rūdbār,AF,30.15,62.6,43.84,46,8,6.15,clear sky
519,Ubari,LY,26.5921,12.7805,69.22,23,0,7.87,clear sky
520,Emet,TR,39.343,29.2585,45.27,75,65,6.13,broken clouds
521,Biak,ID,-0.9131,122.8766,76.82,83,100,6.2,overcast clouds
522,Omboué,GA,-1.5746,9.2618,78.22,86,86,6.33,light rain
523,Ancud,CL,-41.8697,-73.8203,58.12,79,49,7.96,scattered clouds
524,Beckley,US,37.7782,-81.1882,49.68,95,100,11.5,overcast clouds
525,Okhotsk,RU,59.3833,143.3,-23.82,84,82,10.09,broken clouds
526,Santa Rosa,AR,-36.6167,-64.2833,87.06,17,4,15.73,clear sky
527,Farmington,US,36.7281,-108.2187,49.15,34,0,5.01,clear sky
528,Saint George,BM,32.3817,-64.6781,65.98,66,75,17.27,broken clouds
529,Soyo,AO,-6.1349,12.3689,78.24,88,95,4.61,overcast clouds
530,Krasnystaw,PL,50.9846,23.1742,32.2,99,100,13.53,snow
531,Filingué,NE,14.3521,3.3168,72.79,16,0,9.64,clear sky
532,Diriamba,NI,11.8584,-86.2388,79.88,76,1,9.53,clear sky
533,Bāniyās,SY,35.1819,35.9487,52.09,63,35,4.59,scattered clouds
534,Igra,RU,57.5558,53.0547,16.09,94,100,9.24,snow
